Coder,Asset_Name,Brand,Lead_Country,Year_Produced,Year_Aired,Segment,Agency,Character_Name,Character_Description,Q1_Prominence,Q2_Age,Q2a_Age_SpecifyOther,Q3_Sex,Q4_Gender,Q5_LGBTQ,Q6_Animated,Q6a_Animated_OtherSpecify,Q7_Race_Ethnicity,Q7a_RE_OtherSpecify,Q8_Physical_Disability,Q9_Cognitive_Disability,Q10_Communication_Disability,Q11a_Shopping,Q11b_Driving,Q11c_Cleaning,Q11d_Cooking,Q11e_Working,Q11f_Socializing,Q11g_Nothing,Q11h_Eating/Drinking,Q11i_Exercising,Q11j_Activity Other,Q11j_Activity_Other_Specify,Q12a_Kitchen,Q12b_Office,Q12c_Car,Q12d_Store,Q12e_Outdoors,Q12f_Living Room,Q12g_Restaurant_Bar,Q12h_Gym,Q12i_Bedroom,Q12j_Bathroom,Q12k_Sporting_Event,Q12l_Classroom,Q12m_Location_Other,Q12m_Location_Other_Specify,Q13_Revealing_Clothing,Q14_Nudity,Q14a_Nudity_Other_Specify,Q15_Visually_Objectified,Q16_Verbally_Objectified,Q17_Intelligence,Q18_Humor,Q19_Occupation,Q20_Leader,Q21_Authority,Q22_Body Type,Q22a_Body_Type_Other_Specify,Q23a_Disordered_Eating,Q23b_Selfy_injury,Q23c_NegativeTalk,Q23d_Body_Modification,Q24a_Visual_Shame,Q24b_Verbal_shame,Q24c_Sizeist_Slurs,Q24d_Punchline,Q24e_Denied_Personal_Opportunity,Q24f_Denied_Professional_Opportunity,Q24g_Other_Prejudice,Q24g_Prejudice_Other_Specify,Q25a_Lazy,Q25b_Physically_Slow,Q25c_Stupid,Q25d_Loser,Q25e_Inactive,Q25f_Poorly_Dressed,Q25g_Funny,Q25h_Jolly,Q25i_Clumsy,Q25j_Alone,Q26a_Comic_Relief,Q26b_Sidekick,Q26c_Mamma_Hen,Q26d_Nympho,Q27_Fat_to_Fit,Q28_Inspo_Porn,,Q27. NOTES,,Notes on Dwelling,,,,,,,,,,,,,,,
Nosh,5 Adventures 16x9 (:20),5 Gum,Russia,2019,2019,Confectionary,BBDO,Teen,girl,2,3,,1,Feminine,0,0,,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,surfing,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,2,,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,
Nosh,5 Adventures 16x9 (:20),5 Gum,Russia,2019,2019,Confectionary,BBDO,Teen,girl,2,3,,1,Feminine,0,0,,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,skateboarding and surfing,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,1,,0,0,0,0,0,0,0,2,,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,
Nosh,5 Gum 2019 Gaming BPI Brand Video,5 Gum,China,2019,2019,Confectionary,BBDO,Man,,2,4,,2,Masculine,0,0,,5,,0,0,0,0,0,0,0,0,0,0,1,0,1,playing game on phone,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,2,,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,
Melanie,Sneakout,5 Gum,United States,2016,2019,Confectionary,BBDO,girl,tank,2,3,,1,Feminine,0,0,,1,,0,0,0,0,0,0,0,0,0,0,1,0,1,Sneaking out of her window,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,,0,0,0,0,0,0,0,2,,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,
Melanie,Truth or Dare,5 Gum,United States,2016,2019,Confectionary,BBDO,girl,asian,2,3,,1,Feminine,0,0,,5,,0,0,0,0,0,0,0,1,1,0,1,0,1,"dancing, riding a motorbike",0,0,0,0,1,0,1,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,2,,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,
Melanie,Truth or Dare,5 Gum,United States,2016,2019,Confectionary,BBDO,friend 1,white 1,2,3,,2,Masculine,0,0,,1,,0,0,0,0,0,0,0,0,1,0,1,0,1,"getting a haircut, riding a motorbike",0,0,0,0,1,0,1,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,2,,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,
Melanie,Truth or Dare,5 Gum,United States,2016,2019,Confectionary,BBDO,friend 2,white 2,2,3,,2,Masculine,0,0,,1,,0,0,0,0,0,0,0,0,1,0,1,0,1,"arm wrestling, riding a motorbike, going through carwash",0,0,0,0,1,0,1,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,2,,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,
Melanie,Truth or Dare,5 Gum,United States,2016,2019,Confectionary,BBDO,bellhop,hairstylist,2,4,,2,Masculine,0,0,,1,,0,0,0,0,0,0,0,1,0,0,0,0,1,giving a haircut,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,2,,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,
Hannah,Skinny Dip,5 Gum,United States,2016,2019,Confectionary,BBDO,Man,Man skinny dipping,2,4,,2,Masculine,0,0,,1,,0,0,0,0,0,0,0,0,1,0,0,0,1,Getting undressed,0,0,0,0,1,0,0,0,0,0,0,0,1,Pool,0,1,,0,0,0,0,0,0,0,2,,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,
Emma,Airwaves 2020 Intense Mint launch campaign video,Airwaves       ,NORTH ASIA,2020,2020,Confectionary,DDB,Man,at party,2,5,,2,10,0,0,,5,,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,2,3,,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,
